Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
65,SLSOMTN,448.350000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
66,DR,447.375000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
67,SLBUTPK,145.450000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
68,SNOWB T,147.180000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
69,BRGHTON,145.270000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
70,HISUNCR,447.100000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
71,HI POLN,154.860000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
72,HI POLS,158.970000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
73,HI FIRE,153.950000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
74,SSLKMT,145.230000,-,0.600000,Tone,131.8,88.5,023,NN,FM,5.00,,,,,,
75,LEHI,447.600000,-,5.000000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
76,AF POL,154.845000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
77,PG SUND,145.250000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
78,PG,449.325000,-,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
79,SHRFC2C,154.890000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
80,BRUINPK,449.050000,-,5.000000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
81,OREM,449.575000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
82,HIDCHSG,147.260000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
83,MORCCSL,147.060000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
84,PR 3,447.875000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
85,PR 4,449.175000,-,5.000000,Tone,131.8,88.5,023,NN,FM,5.00,,,,,,
86,PR 5,449.475000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
87,LEVAN T,145.270000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
88,TEAPKSF,447.400000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
89,FRISPKT,146.940000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
90,BLOWPKT,146.800000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
91,SGBHILL,146.640000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
92,SGUHILL,145.490000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
93,SGUHILT,146.820000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
94,SGTOQUE,145.450000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
95,LKPWL T,146.960000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
96,VEGAS T,146.880000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
97,UHPNTH,155.250000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
98,LIFEFLI,155.505000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
99,UDOT,155.895000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
100,SIMP70C,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
101,HIGHERC,438.825000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
102,L P ARC,145.790000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
103,LAKEMT,146.460000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
104,SS ERC,438.325000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
105,TEMPCV,166.150000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
106,TIMPERT,145.630000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
107,SATNEWS,147.400000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
108,NOAA1,162.550000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
109,NOAA2,162.400000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
110,NOAA3,162.475000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
111,NOAA4,162.425000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
112,NOAA5,162.450000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
113,NOAA6,162.500000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
114,NOAA7,162.525000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
115,NOAA8,161.650000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
116,NOAA9,161.775000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
117,NOAA10,161.750000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
118,NOAA11,162.000000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
119,GMRS15R,462.550000,+,5.000000,DTCS,88.5,88.5,606,NN,FM,5.00,S,,,,,
120,G15 P13,462.550000,,0.000000,TSQL,103.5,103.5,023,NN,FM,5.00,S,,,,,
121,G16 P15,462.575000,,0.000000,TSQL,110.9,110.9,023,NN,FM,5.00,S,,,,,
122,G17 P17,462.600000,,0.000000,TSQL,118.8,118.8,023,NN,FM,5.00,S,,,,,
123,G18 P19,462.625000,,0.000000,TSQL,127.3,127.3,023,NN,FM,5.00,S,,,,,
124,G19 P19,462.650000,,0.000000,TSQL,127.3,127.3,023,NN,FM,5.00,S,,,,,
125,G20 P19,462.675000,,0.000000,TSQL,127.3,127.3,023,NN,FM,5.00,S,,,,,
126,G21 P19,462.700000,,0.000000,TSQL,127.3,127.3,023,NN,FM,5.00,S,,,,,
127,G22 P19,462.725000,,0.000000,TSQL,127.3,127.3,023,NN,FM,5.00,S,,,,,
